[150.0, 0.0]
[147.7211629518312, 26.04722665003955]
[140.95389311788625, 51.303021498850306]
[129.9038105676658, 74.99999999999999]
[114.9066664678467, 96.41814145298089]
[96.4181414529809, 114.9066664678467]
[75.00000000000001, 129.9038105676658]
[51.30302149885032, 140.95389311788625]
[26.047226650039562, 147.7211629518312]
[9.184850993605149e-15, 150.0]
[-26.047226650039544, 147.7211629518312]
[-51.303021498850306, 140.95389311788625]
[-74.99999999999997, 129.9038105676658]
[-96.4181414529809, 114.9066664678467]
[-114.90666646784669, 96.41814145298092]
[-129.9038105676658, 74.99999999999999]
[-140.95389311788625, 51.303021498850335]
[-147.7211629518312, 26.04722665003954]
[-150.0, 1.8369701987210297e-14]
[-147.7211629518312, -26.04722665003957]
[-140.95389311788625, -51.3030214988503]
[-129.9038105676658, -75.00000000000001]
[-114.9066664678467, -96.41814145298089]
[-96.41814145298092, -114.90666646784669]
[-75.00000000000007, -129.90381056766577]
[-51.303021498850285, -140.95389311788625]
[-26.04722665003955, -147.7211629518312]
[-2.7554552980815446e-14, -150.0]
[26.047226650039494, -147.72116295183122]
[51.30302149885035, -140.95389311788625]
